,OMIM_ID,HPO_ID
1190,106260,4691
1191,106260,8404
1192,106260,9755
1193,106260,31088
1194,106280,6
1195,106280,10296
1196,106300,1425
1197,106300,1426
1198,106300,1659
1199,106300,2037
1200,106300,2808
1201,106300,3418
1202,106300,3765
1203,106300,8843
1204,106300,11675
1205,106300,12122
1206,106300,12317
1207,106300,100686
1208,106400,6
1209,106400,7508
1210,106400,8442
1211,106500,6
1212,106500,10783
1213,106600,6
1214,106600,668
1215,106700,6
1216,106700,2092
1217,106700,2205
1218,106700,5160
1219,106700,8386
1220,106700,9884
1221,106750,6
1222,106750,958
1223,106750,1798
1224,106750,7471
1225,106900,6
1226,106900,968
1227,106900,1171
1228,106900,1798
1229,106900,10048
1230,106990,6
1231,106990,968
1232,106990,1171
1233,106990,1798
1234,106990,2164
1235,106990,5831
1236,106990,8404
1237,106990,9835
1238,106990,10743
1239,106995,6
1240,106995,218
1241,106995,322
1242,106995,426
1243,106995,430
1244,106995,448
1245,106995,494
1246,106995,1798
1247,106995,2164
1248,106995,5793
1249,106995,6118
1250,106995,8404
1251,106995,9237
1252,106995,9943
1253,107000,6
1254,107000,1374
1255,107000,1798
1256,107000,2164
1257,107000,8404
1258,107000,9884
1259,107100,6
1260,107100,143
1261,107100,2023
1262,107200,6
1263,107200,458
1264,107250,6
1265,107250,482
1266,107250,659
1267,107250,1115
1268,107250,7700
1269,107250,7759
1270,107250,7906
1271,107320,6
1272,107320,491
1273,107320,541
1274,107320,572
1275,107320,622
1276,107320,1101
1277,107320,1973
1278,107320,4420
1279,107320,4936
1280,107320,11531
1281,107320,25188
1282,107320,25342
1283,107320,25343
1284,107320,100532
1285,107480,3
1286,107480,6
1287,107480,28
1288,107480,47
1289,107480,48
1290,107480,76
1291,107480,83
1292,107480,89
1293,107480,110
1294,107480,136
1295,107480,143
1296,107480,252
1297,107480,384
1298,107480,400
1299,107480,407
1300,107480,567
1301,107480,821
1302,107480,1177
1303,107480,1199
1304,107480,1263
1305,107480,1440
1306,107480,1537
1307,107480,1629
